RelativeTimeMilliseconds,ECG,ART,ART (Sys),ART (Dia),PPG
4460960,-0.09000,58.0625,118,53,0.63687
4460970,-0.08500,57.7500,118,53,0.62784
4460980,-0.09500,57.3125,118,53,0.60977
4460990,-0.08500,57.1250,118,53,0.60024
4461000,0.14500,56.9375,118,53,0.59023
4461010,0.68000,56.6250,118,53,0.58022
4461020,1.06500,56.0000,118,53,0.56044
4461030,0.76000,55.6250,118,53,0.55067
4461040,0.07500,55.2500,118,53,0.54139
4461050,-0.34000,54.8750,118,53,0.53211
4461060,-0.40500,54.0625,118,53,0.51453
4461070,-0.30500,53.6875,118,53,0.50696
4461080,-0.22500,53.3125,118,53,0.50012
4461090,-0.20000,52.9375,118,53,0.49280
4461100,-0.19000,52.1875,118,53,0.47790
4461110,-0.18000,51.8125,118,53,0.47057
4461120,-0.17000,51.4375,118,53,0.46349
4461130,-0.17000,51.1250,118,53,0.45641
4461140,-0.17000,50.5000,118,53,0.44249
4461150,-0.16000,50.2500,118,53,0.43541
4461160,-0.15500,50.1875,118,53,0.42833
4461170,-0.15000,52.0000,118,53,0.42125
4461180,-0.14000,54.9375,118,53,0.41001
4461190,-0.12500,59.6875,118,53,0.40366
4461200,-0.11000,65.8750,118,53,0.39707
4461210,-0.09000,72.8125,118,53,0.39072
4461220,-0.07000,86.6250,118,53,0.37827
4461230,-0.05000,92.9375,118,53,0.37216
4461240,-0.03500,98.6250,118,53,0.36630
4461250,-0.01500,103.5000,118,53,0.36068
4461260,0.00000,110.6250,118,53,0.34969
4461270,0.01500,112.8750,118,53,0.34530
4461280,0.02000,114.3125,118,53,0.34164
4461290,0.02000,115.1875,118,53,0.33724
4461300,0.02500,114.8750,118,53,0.32772
4461310,0.03000,114.1250,118,53,0.32259
4461320,0.04000,113.1875,118,53,0.31770
4461330,0.05000,111.9375,118,53,0.31282
4461340,0.06000,109.1250,118,53,0.30379
4461350,0.07000,107.5625,118,53,0.29915
4461360,0.07000,105.9375,118,53,0.29475
4461370,0.05500,104.2500,118,53,0.29060
4461380,0.03000,100.9375,118,53,0.28498
4461390,0.01000,99.2500,118,53,0.28156
4461400,-0.01000,97.6250,118,53,0.27766
4461410,-0.02500,95.8750,118,53,0.27350
4461420,-0.02500,92.1875,118,53,0.26520
4461430,-0.03000,90.0625,118,53,0.26129
4461440,-0.03000,87.6875,118,53,0.25836
4461450,-0.02500,85.0625,118,53,0.25690
4461460,-0.02500,79.6250,118,53,0.26178
4461470,-0.02000,77.2500,118,53,0.26838
4461480,-0.02000,75.2500,118,53,0.27790
4461490,-0.01500,72.4375,118,53,0.29158
4461500,-0.01000,71.4375,118,53,0.33016
4461510,-0.01000,70.6250,118,53,0.35433
4461520,-0.01500,69.9375,118,53,0.38095
4461530,-0.01500,69.4375,118,53,0.40904
4461540,-0.02000,68.5625,118,53,0.46764
4461550,-0.02500,68.1250,118,53,0.49695
4461560,-0.03000,67.7500,118,53,0.52552
4461570,-0.02500,67.3750,118,53,0.54945
4461580,-0.02500,66.5000,118,53,0.59194
4461590,-0.01000,66.1250,118,53,0.61319
4461600,0.00000,65.6875,118,53,0.63248
4461610,0.01000,65.2500,118,53,0.64957
4461620,0.00000,64.3750,118,53,0.67595
4461630,-0.02000,63.9375,118,53,0.68571
4461640,-0.04500,63.5000,118,53,0.69328
4461650,-0.06500,63.0000,118,53,0.69890
4461660,-0.09000,62.0625,118,53,0.70525
4461670,-0.10500,61.5625,118,53,0.70525
4461680,-0.11500,61.0625,118,53,0.70379
4461690,-0.11500,60.5625,118,53,0.70159
4461700,-0.11500,59.6875,118,53,0.69377
4461710,-0.11500,59.2500,118,53,0.68791
4461720,-0.11000,58.8750,118,53,0.68107
4461730,-0.10000,58.6250,118,53,0.67302
4461740,-0.09500,58.1250,118,53,0.65397
4461750,-0.11000,57.9375,118,53,0.64347
4461760,-0.00500,57.6875,118,53,0.63272
4461770,0.37500,57.3750,118,53,0.62271
4461780,0.94500,56.7500,118,53,0.60269
4461790,1.02000,56.3750,118,53,0.59219
4461800,0.40000,56.0000,118,53,0.58193
4461810,-0.19000,55.6250,118,53,0.57167
4461820,-0.41000,54.7500,118,53,0.55214
4461830,-0.37000,54.3750,118,53,0.54286
4461840,-0.26500,53.9375,118,53,0.53382
4461850,-0.21000,53.5625,118,53,0.52503
4461860,-0.20000,52.8750,118,53,0.50794
4461870,-0.19000,52.5000,118,53,0.50012
4461880,-0.18500,52.1875,118,53,0.49304
4461890,-0.18000,51.8125,118,53,0.48547
4461900,-0.18000,51.1250,118,53,0.47033
4461910,-0.16500,50.8125,118,53,0.46276
4461920,-0.15500,50.6250,118,53,0.45543
