RelativeTimeMilliseconds,ECG,ART,ART (Sys),ART (Dia),PPG
1223700,-0.13500,95.0000,173,89,0.42833
1223710,0.02000,116.0000,173,89,0.64103
1223720,0.02000,116.0000,173,89,0.64103
1223730,0.02000,116.0000,173,89,0.64103
1223740,0.02000,116.0000,173,89,0.64103
1223750,0.02000,116.0000,173,89,0.64103
1223760,0.02000,116.0000,173,89,0.64103
1223770,0.02000,116.0000,173,89,0.64103
1223780,0.02000,116.0000,173,89,0.64103
1223790,0.02000,116.0000,173,89,0.64103
1223800,-0.16500,108.8125,173,89,0.73553
1223810,-0.16500,108.8125,173,89,0.73553
1223820,-0.16500,108.8125,173,89,0.73553
1223830,-0.16500,108.8125,173,89,0.73553
1223840,-0.16500,108.8125,173,89,0.73553
1223850,-0.16500,108.8125,173,89,0.73553
1223860,-0.16500,108.8125,173,89,0.73553
1223870,-0.16500,108.8125,173,89,0.73553
1223880,-0.16500,108.8125,173,89,0.73553
1223890,-0.16500,108.8125,173,89,0.73553
1223900,-0.16500,108.8125,173,89,0.73553
1223910,-0.16500,108.8125,173,89,0.73553
1223920,-0.16500,108.8125,173,89,0.73553
1223930,-0.16500,108.8125,173,89,0.73553
1223940,-0.16500,108.8125,173,89,0.73553
1223950,-0.16500,108.8125,173,89,0.73553
1223960,-0.16500,108.8125,173,89,0.73553
1223970,-0.16500,108.8125,173,89,0.73553
1223980,-0.16500,108.8125,173,89,0.73553
1223990,-0.16500,108.8125,173,89,0.73553
1224000,-0.16500,108.8125,173,89,0.73553
1224010,-0.16500,108.8125,173,89,0.73553
1224020,-0.16500,108.8125,173,89,0.73553
1224030,-0.16500,108.8125,173,89,0.73553
1224040,-0.16500,108.8125,173,89,0.73553
1224050,-0.16500,108.8125,173,89,0.73553
1224060,-0.16500,108.8125,173,89,0.73553
1224070,-0.16500,108.8125,173,89,0.73553
1224080,-0.16500,108.8125,173,89,0.73553
1224090,-0.16500,108.8125,173,89,0.73553
1224100,-0.16500,108.8125,173,89,0.73553
1224110,-0.16500,108.8125,173,89,0.73553
1224120,-0.16500,108.8125,173,89,0.73553
1224130,-0.17000,107.6250,173,89,0.73871
1224140,-0.16000,105.3125,173,89,0.74505
1224150,-0.15500,104.2500,173,89,0.74725
1224160,-0.14500,103.1875,173,89,0.74872
1224170,-0.15500,102.1875,173,89,0.74896
1224270,-0.20000,91.0625,173,89,0.57338
1224280,-0.19000,90.3125,173,89,0.55238
1224290,-0.18000,88.8125,173,89,0.53333
1224300,-0.17000,88.1250,173,89,0.50208
1224310,-0.16000,87.5000,173,89,0.48962
1224320,-0.15500,86.8750,173,89,0.47985
1224330,-0.15000,86.4375,173,89,0.47155
1224340,-0.14500,86.0000,173,89,0.45495
1224350,-0.13500,86.5000,173,89,0.44640
1224360,-0.11500,88.0000,173,89,0.43785
1224370,-0.09500,91.2500,173,89,0.42930
1224380,-0.07500,104.5625,173,89,0.41221
1224390,-0.04500,114.0625,173,89,0.40366
1224400,-0.01500,124.3750,173,89,0.39512
1224410,0.01500,134.5625,173,89,0.38657
1224420,0.05500,151.5000,173,89,0.37143
1224430,0.09000,157.5000,173,89,0.36557
1224440,0.12500,161.8125,173,89,0.35897
