RelativeTimeMilliseconds,ECG,ART,ART (Sys),ART (Dia),PPG
3000000,-0.05500,101.3750,134,62,0.29255
3000010,-0.05500,98.1875,134,62,0.28498
3000020,-0.04000,91.5000,134,62,0.27277
3000030,-0.01500,88.5000,134,62,0.26960
3000040,0.01000,86.0625,134,62,0.26960
3000050,0.04000,84.1875,134,62,0.27302
3000060,0.06000,81.8125,134,62,0.29304
3000070,0.06000,81.1250,134,62,0.31136
3000080,0.05000,80.6875,134,62,0.33504
3000090,0.02000,80.4375,134,62,0.36410
3000100,-0.05000,80.0000,134,62,0.43394
3000110,-0.12500,79.8125,134,62,0.47253
3000120,-0.18000,79.5625,134,62,0.51160
3000130,-0.20500,79.1875,134,62,0.54994
3000140,-0.21500,78.2500,134,62,0.61587
3000150,-0.21000,77.6250,134,62,0.64054
3000160,-0.21000,77.0625,134,62,0.66520
3000170,-0.20500,76.4375,134,62,0.68791
3000180,-0.20000,75.2500,134,62,0.72454
3000190,-0.20000,74.6875,134,62,0.73797
3000200,-0.22500,74.0625,134,62,0.74823
3000210,-0.09000,73.5000,134,62,0.75556
3000220,0.39500,72.3750,134,62,0.76313
3000230,0.91000,71.7500,134,62,0.76361
3000240,0.68000,71.1875,134,62,0.76215
3000250,-0.05500,70.6250,134,62,0.75849
3000260,-0.47000,69.3750,134,62,0.74676
3000270,-0.49000,68.7500,134,62,0.73895
3000280,-0.34500,68.0625,134,62,0.72991
3000290,-0.26500,67.3750,134,62,0.71966
3000300,-0.26000,66.0000,134,62,0.69524
3000310,-0.25000,65.4375,134,62,0.68156
3000320,-0.24000,64.8125,134,62,0.66740
3000330,-0.23000,64.1875,134,62,0.65299
3000340,-0.22500,63.0000,134,62,0.62515
3000350,-0.22000,62.4375,134,62,0.61270
3000360,-0.20500,62.0000,134,62,0.60000
3000370,-0.18500,61.6875,134,62,0.58730
3000380,-0.16500,63.2500,134,62,0.56264
3000390,-0.14500,66.6875,134,62,0.55067
3000400,-0.12500,72.7500,134,62,0.53871
3000410,-0.11000,81.3125,134,62,0.52723
3000420,-0.09500,101.5625,134,62,0.50501
3000430,-0.07000,111.1250,134,62,0.49426
3000440,-0.05000,119.3125,134,62,0.48376
3000450,-0.02500,125.8125,134,62,0.47473
3000460,-0.01000,133.5000,134,62,0.45739
3000470,0.00000,134.9375,134,62,0.44811
3000480,0.01000,135.1250,134,62,0.43834
3000490,0.02000,134.4375,134,62,0.42857
3000500,0.03000,131.3125,134,62,0.40977
3000510,0.04500,129.2500,134,62,0.40073
3000520,0.06500,127.0000,134,62,0.39170
3000530,0.08000,124.6875,134,62,0.38266
3000540,0.08500,119.8750,134,62,0.36654
3000550,0.08000,117.5625,134,62,0.35995
3000560,0.06000,115.3125,134,62,0.35238
3000570,0.04000,110.9375,134,62,0.34408
3000580,0.01500,108.8750,134,62,0.32698
3000590,0.00000,106.8125,134,62,0.31844
3000600,-0.00500,104.6250,134,62,0.30989
3000610,-0.00500,102.1875,134,62,0.30159
