RelativeTimeMilliseconds,ECG,ART,ART (Sys),ART (Dia),PPG
9874960,-0.26000,57.9375,96,55,0.47961
9874970,-0.25000,57.6875,96,55,0.46667
9874980,-0.24000,57.4375,96,55,0.45470
9874990,-0.23000,57.1875,96,55,0.44371
9875000,-0.22000,56.8125,97,56,0.42393
9875010,-0.21500,56.6250,97,56,0.41514
9875020,-0.21000,56.3750,97,56,0.40806
9875030,-0.20000,56.1875,97,56,0.40220
9875040,-0.19500,55.7500,97,56,0.39048
9875050,-0.19000,55.5625,97,56,0.38486
9875060,-0.18000,55.3750,97,56,0.37949
9875070,-0.17000,55.2500,97,56,0.37460
9875080,-0.15500,55.5625,97,56,0.36532
9875090,-0.14000,56.2500,97,56,0.36093
9875100,-0.12500,57.6250,97,56,0.35678
9875110,-0.10500,59.8125,97,56,0.35263
9875120,-0.08500,66.3750,97,56,0.34676
9875130,-0.06500,70.3750,97,56,0.34359
9875140,-0.04500,74.5625,97,56,0.34042
9875150,-0.01500,78.7500,97,56,0.33724
9875160,0.01000,86.5625,97,56,0.33138
9875170,0.04000,89.8125,97,56,0.32845
9875180,0.07000,92.5000,97,56,0.32576
9875190,0.10000,94.6250,97,56,0.32332
9875200,0.13000,97.5000,97,56,0.31844
9875210,0.15500,98.3750,97,56,0.31600
9875220,0.18500,98.9375,97,56,0.31429
9875230,0.21000,99.1875,97,56,0.31258
9875240,0.21000,99.1875,97,56,0.31258
9875250,0.17500,98.8750,97,56,0.30452
9875260,0.11500,98.3750,97,56,0.30183
9875270,0.05000,97.6875,97,56,0.29915
9875280,-0.01000,95.8750,97,56,0.29451
9875290,-0.05500,94.8750,97,56,0.29255
9875300,-0.08500,93.8125,97,56,0.29060
9875310,-0.10000,92.6875,97,56,0.28889
9875320,-0.11000,90.2500,97,56,0.28791
9875330,-0.12000,89.0000,97,56,0.28694
9875340,-0.12500,87.7500,97,56,0.28571
9875350,-0.12500,86.3750,97,56,0.28474
9875360,-0.12000,83.5625,97,56,0.28547
9875370,-0.12000,82.0625,97,56,0.28840
9875380,-0.12000,80.5625,97,56,0.29426
9875390,-0.12500,79.0625,97,56,0.30379
9875400,-0.12500,76.1250,97,56,0.33578
9875410,-0.12500,74.8125,97,56,0.35873
9875420,-0.12500,73.5000,97,56,0.38169
9875430,-0.12500,72.3750,97,56,0.40586
9875440,-0.12500,70.2500,97,56,0.46886
9875450,-0.12500,69.3750,97,56,0.50427
9875460,-0.12500,69.3750,97,56,0.50427
9875470,-0.12000,67.8750,97,56,0.57680
9875480,-0.11000,66.8125,97,56,0.64371
9875490,-0.08500,66.3750,97,56,0.67350
9875500,-0.06500,66.0000,97,56,0.70012
9875510,-0.06500,65.6875,97,56,0.72357
9875520,-0.04500,65.2500,97,56,0.75360
9875530,-0.02500,65.0625,97,56,0.76654
9875540,-0.02500,64.9375,97,56,0.77827
9875550,-0.04500,64.8125,97,56,0.78828
9875560,-0.06500,64.6250,97,56,0.80122
9875570,-0.10000,64.5000,97,56,0.80415
9875580,-0.14000,64.3750,97,56,0.80488
9875590,-0.16000,64.3125,97,56,0.80366
9875600,-0.16500,64.0625,97,56,0.79609
9875610,-0.15500,63.9375,97,56,0.78974
9875620,-0.14500,63.7500,97,56,0.78193
9875630,-0.13500,63.5625,97,56,0.77363
9875640,-0.13000,63.1875,97,56,0.75311
9875650,-0.17000,63.0000,97,56,0.74115
9875660,-0.17500,62.8125,97,56,0.72845
9875670,0.14500,62.5625,97,56,0.71477
9875680,0.88500,62.1250,97,56,0.68449
9875690,1.62500,61.8750,97,56,0.66838
9875700,1.54500,61.6250,97,56,0.65201
9875710,0.61000,61.3750,97,56,0.63541
9875720,-0.14000,60.8750,97,56,0.60635
9875730,-0.32500,60.5625,97,56,0.59170
9875740,-0.30500,60.3125,97,56,0.57680
9875750,-0.28000,60.0000,97,56,0.56190
9875760,-0.26500,59.5000,97,56,0.53333
9875770,-0.25500,59.1875,97,56,0.51966
9875780,-0.24000,58.9375,97,56,0.50672
9875790,-0.23500,58.6250,97,56,0.49451
9875800,-0.23500,58.6250,97,56,0.49451
9875810,-0.22000,57.8125,97,56,0.46422
