RelativeTimeMilliseconds,ECG,ART,ART (Sys),ART (Dia),PPG
6474450,-0.03500,64.9375,112,61,0.61954
6474460,-0.30500,64.6250,112,61,0.60440
6474470,-0.31500,64.3125,112,61,0.58828
6474480,-0.28500,63.6250,112,61,0.55507
6474490,-0.26500,63.3125,112,61,0.53822
6474500,-0.26000,62.9375,112,61,0.52112
6474510,-0.25000,62.5625,112,61,0.50403
6474520,-0.24000,61.8125,112,61,0.47326
6474530,-0.23000,61.4375,112,61,0.46056
6474540,-0.22500,61.1250,112,61,0.44713
6474550,-0.21500,60.8125,112,61,0.43394
6474560,-0.21000,60.1875,112,61,0.40879
6474570,-0.20000,59.8750,112,61,0.39756
6474580,-0.19000,59.5625,112,61,0.38730
6474590,-0.18000,59.2500,112,61,0.37802
6474600,-0.17000,59.1875,112,61,0.36239
6474610,-0.17000,59.1875,112,61,0.36239
6474620,-0.14500,61.4375,112,61,0.35043
6474630,-0.12500,64.5625,112,61,0.34603
6474640,-0.10500,75.8750,112,61,0.33968
6474650,-0.08500,83.0000,112,61,0.33626
6474660,-0.06500,89.8125,112,61,0.33284
6474670,-0.04000,95.6875,112,61,0.32943
6474680,-0.02000,104.1875,112,61,0.32308
6474690,0.00000,107.0625,112,61,0.32015
6474700,0.02000,109.0625,112,61,0.31746
6474710,0.03500,110.1875,112,61,0.31477
6474720,0.05500,110.0625,112,61,0.30965
6474730,0.05500,110.0625,112,61,0.30965
6474740,0.09500,108.1250,112,61,0.30525
6474750,0.10000,106.8125,112,61,0.30232
6474760,0.07000,103.8750,112,61,0.29573
6474770,0.03500,102.2500,112,61,0.29231
6474780,-0.00500,100.6875,112,61,0.28864
6474790,-0.04500,99.1250,112,61,0.28523
6474800,-0.07000,96.1250,112,61,0.27790
6474810,-0.08500,94.6250,112,61,0.27399
6474820,-0.09500,93.1875,112,61,0.26984
6474830,-0.09500,91.8750,112,61,0.26691
6474840,-0.09000,89.1875,112,61,0.26154
6474850,-0.08500,87.8125,112,61,0.25763
6474860,-0.08000,86.3750,112,61,0.25348
6474870,-0.07500,84.8125,112,61,0.24933
6474880,-0.07500,81.3750,112,61,0.24176
6474890,-0.07000,79.4375,112,61,0.23907
6474900,-0.07000,77.5000,112,61,0.23736
6474910,-0.06500,75.6875,112,61,0.24005
6474920,-0.05500,72.8125,112,61,0.24933
6474930,-0.03500,71.6250,112,61,0.25836
6474940,-0.02500,70.6875,112,61,0.27326
6474950,-0.01500,69.8125,112,61,0.29402
6474960,0.00000,68.6875,112,61,0.35189
6474970,0.03000,68.3750,112,61,0.38730
6474980,0.04000,68.1875,112,61,0.42540
6474990,0.02500,68.0625,112,61,0.46422
6475000,-0.01500,68.1250,112,61,0.53944
6475010,-0.06500,68.2500,112,61,0.57387
6475020,-0.10000,68.3750,112,61,0.60464
6475030,-0.09500,68.4375,112,61,0.62833
6475040,-0.08500,68.5625,112,61,0.66569
6475050,-0.09500,68.6250,112,61,0.68181
6475060,-0.10000,68.6250,112,61,0.69451
6475070,-0.09500,68.5625,112,61,0.70354
6475080,-0.11500,68.3125,112,61,0.71966
6475090,-0.18000,68.0625,112,61,0.73236
6475100,-0.17000,67.8125,112,61,0.73602
6475110,0.14000,67.5000,112,61,0.73431
6475120,0.79500,66.9375,112,61,0.72210
6475130,1.41000,66.6250,112,61,0.71380
6475140,1.16000,66.3125,112,61,0.70427
6475150,0.32000,66.0000,112,61,0.69353
6475160,-0.21000,65.3750,112,61,0.66911
6475170,-0.31500,65.0625,112,61,0.65568
6475180,-0.28000,64.6875,112,61,0.64127
6475190,-0.25000,64.3125,112,61,0.62589
6475200,-0.24000,63.5625,112,61,0.59316
6475210,-0.23500,63.1250,112,61,0.57631
6475220,-0.23500,62.7500,112,61,0.55946
6475230,-0.23000,62.3125,112,61,0.54432
6475240,-0.23000,61.5625,112,61,0.51600
6475250,-0.22000,61.1875,112,61,0.50110
6475260,-0.21000,60.8750,112,61,0.48620
6475270,-0.20000,60.5625,112,61,0.47204
