RelativeTimeMilliseconds,ECG,ART,ART (Sys),ART (Dia),PPG
8224770,0.01000,87.8125,133,76,0.49719
8224780,-0.02500,87.3750,133,76,0.48181
8224790,-0.08000,86.9375,133,76,0.46691
8224800,-0.08000,86.9375,133,76,0.46691
8224810,-0.12500,85.6250,133,76,0.39414
8224820,-0.12500,85.2500,133,76,0.37973
8224830,-0.12500,84.8750,133,76,0.36703
8224840,-0.12000,84.2500,133,76,0.34603
8224850,-0.11500,83.9375,133,76,0.33748
8224860,-0.10000,83.6250,133,76,0.32991
8224870,0.11000,83.3750,133,76,0.32308
8224880,0.70000,82.8750,133,76,0.31087
8224890,0.93000,82.6250,133,76,0.30501
8224900,0.50500,82.3750,133,76,0.29915
8224910,-0.15500,82.1875,133,76,0.29451
8224920,-0.28000,81.7500,133,76,0.28547
8224930,-0.22000,81.5625,133,76,0.28059
8224940,-0.19000,81.3125,133,76,0.27546
8224950,-0.18500,81.1250,133,76,0.27009
8224960,-0.18000,80.8750,133,76,0.26471
8224970,-0.18000,80.3125,133,76,0.25421
8224980,-0.17000,80.0000,133,76,0.24884
8224990,-0.17000,79.6875,133,76,0.24347
8225000,-0.16500,79.3750,133,75,0.23785
8225010,-0.16000,78.6875,133,75,0.22759
8225020,-0.15500,78.3750,133,75,0.22393
8225030,-0.15000,78.0000,133,75,0.21929
8225040,-0.14500,77.6875,133,75,0.21441
8225050,-0.13500,76.9375,133,75,0.20464
8225060,-0.11500,76.6250,133,75,0.19976
8225070,-0.10500,76.3750,133,75,0.19487
8225080,-0.09000,76.0625,133,75,0.19023
8225090,-0.07000,75.6250,133,75,0.18095
8225100,-0.05500,75.5625,133,75,0.17656
8225110,-0.03500,75.6875,133,75,0.17387
8225120,-0.01500,77.5625,133,75,0.16874
8225130,0.00000,79.6250,133,75,0.16532
8225140,0.02000,82.3750,133,75,0.16190
8225150,0.04000,85.8125,133,75,0.15849
8225160,0.06500,94.1875,133,75,0.15189
8225170,0.08500,98.8125,133,75,0.14872
8225180,0.11500,103.4375,133,75,0.14603
8225190,0.15500,107.9375,133,75,0.14383
8225200,0.17500,112.1875,133,75,0.14212
8225210,0.21500,119.1875,133,75,0.14115
8225220,0.24000,121.9375,133,75,0.14212
8225230,0.26000,124.1250,133,75,0.14261
8225240,0.26500,127.0000,133,75,0.14286
8225250,0.25000,127.8125,133,75,0.14286
8225260,0.20500,128.3125,133,75,0.14286
8225270,0.13000,128.5000,133,75,0.14286
8225280,0.07000,128.1250,133,75,0.14286
8225290,0.02000,127.5625,133,75,0.14286
8225300,-0.03000,126.8750,133,75,0.14286
8225310,-0.05500,126.0000,133,75,0.14383
8225320,-0.07500,123.5625,133,75,0.14554
8225330,-0.09500,122.1250,133,75,0.14750
8225340,-0.10500,120.4375,133,75,0.14823
8225350,-0.10500,118.5000,133,75,0.14872
8225360,-0.11000,114.1250,133,75,0.15067
8225370,-0.11500,111.6875,133,75,0.15336
8225380,-0.11500,109.0625,133,75,0.15800
8225390,-0.11500,106.3750,133,75,0.16532
8225400,-0.11500,101.4375,133,75,0.18926
8225410,-0.11000,99.4375,133,75,0.20464
8225420,-0.10500,97.8125,133,75,0.22515
8225430,-0.09500,96.5625,133,75,0.25031
8225440,-0.09500,95.6250,133,75,0.27912
8225450,-0.09000,94.5000,133,75,0.34261
8225460,-0.09000,94.1875,133,75,0.37509
8225470,-0.08500,94.0625,133,75,0.40659
8225480,-0.08000,94.0000,133,75,0.46325
8225490,-0.08500,94.0000,133,75,0.48767
8225500,-0.08000,93.9375,133,75,0.50916
8225510,-0.08000,93.9375,133,75,0.52527
8225520,-0.08500,93.8125,133,75,0.53773
8225530,-0.08000,93.3750,133,75,0.55873
8225540,-0.08000,93.0625,133,75,0.56654
8225550,-0.08500,92.6875,133,75,0.57289
8225560,-0.08500,92.3125,133,75,0.57729
8225570,-0.08500,91.5000,133,75,0.57900
8225580,-0.08000,91.0000,133,75,0.57729
8225590,-0.06500,90.5625,133,75,0.57363
8225600,-0.03500,89.5625,133,75,0.56117
8225610,-0.02000,89.0625,133,75,0.55287
8225620,-0.01000,88.5625,133,75,0.54286
8225630,0.00500,88.0625,133,75,0.53065
8225640,0.03000,87.6250,133,75,0.51697
8225650,0.06000,86.6875,133,75,0.48523
8225660,0.04000,86.1875,133,75,0.46789
8225670,0.00500,85.7500,133,75,0.45055
8225680,-0.02500,84.8750,133,75,0.43419
8225690,-0.06500,84.4375,133,75,0.40440
8225700,-0.10500,84.0625,133,75,0.39023
8225710,-0.13000,83.6875,133,75,0.37753
8225720,-0.13500,83.3125,133,75,0.36581
8225730,-0.13000,82.5625,133,75,0.34725
8225740,-0.13000,82.2500,133,75,0.34725
8225750,-0.12500,81.9375,133,75,0.35678
8225760,-0.12000,81.6875,133,75,0.37534
8225770,-0.08750,81.1875,133,75,0.42027
8225780,0.10500,80.9375,133,75,0.43370
8225790,0.59000,80.6875,133,75,0.43541
8225800,0.94000,80.4375,133,75,0.42540
8225810,0.62000,80.0625,133,75,0.39316
8225820,0.46000,79.8750,133,75,0.37387
8225830,0.50000,79.6875,133,75,0.35702
8225840,-0.00500,79.3750,133,75,0.33529
8225850,-0.18000,79.1875,133,75,0.32821
8225860,-0.23000,78.9375,133,75,0.32210
8225870,-0.22500,78.7500,133,75,0.31600
8225880,-0.22000,78.5000,133,75,0.30989
8225890,-0.21500,78.0000,133,75,0.29719
8225900,-0.21000,77.7500,133,75,0.29084
8225910,-0.20000,77.4375,133,75,0.28547
8225920,-0.20000,77.1250,133,75,0.28083
8225930,-0.18500,76.5000,133,75,0.26960
8225940,-0.17500,76.1875,133,75,0.26349
8225950,-0.17000,75.8125,133,75,0.25714
8225960,-0.16000,75.5625,133,75,0.25104
8225970,-0.15500,75.0000,133,75,0.23932
8225980,-0.14500,74.7500,133,75,0.23370
8225990,-0.12500,74.5000,133,75,0.22808
8226000,-0.10500,74.1875,133,75,0.21856
8226010,-0.09000,74.3750,133,75,0.21514
8226020,-0.07500,75.0000,133,75,0.21099
8226030,-0.05000,76.2500,133,75,0.20659
8226040,-0.04000,78.2500,133,75,0.20195
8226050,-0.02500,84.4375,133,75,0.19316
8226060,-0.00500,88.4375,133,75,0.18901
8226070,0.02000,92.8750,133,75,0.18510
8226080,0.05000,102.2500,133,75,0.18168
8226090,0.08000,106.9375,133,75,0.17607
8226100,0.10500,111.3125,133,75,0.17460
8226110,0.14500,115.2500,133,75,0.17411
8226120,0.16500,118.6875,133,75,0.17436
8226130,0.20000,123.8750,133,75,0.17387
8226140,0.22000,125.6875,133,75,0.17363
8226150,0.22500,127.0625,133,75,0.17338
8226160,0.20500,128.0000,133,75,0.17265
8226170,0.16500,128.8125,133,75,0.17045
8226180,0.09000,128.8125,133,75,0.17118
8226190,0.04000,128.6250,133,75,0.17411
8226200,-0.01000,127.5625,133,75,0.18535
8226210,-0.05500,126.7500,133,75,0.19072
8226220,-0.09000,125.6875,133,75,0.19341
8226230,-0.11000,124.5000,133,75,0.19072
8226240,-0.12500,121.5625,133,75,0.16801
8226250,-0.12500,119.8125,133,75,0.15189
8226260,-0.13000,117.8125,133,75,0.13748
8226270,-0.13500,115.6875,133,75,0.12747
8226280,-0.14000,113.3750,133,75,0.12357
8226290,-0.14000,108.3750,133,75,0.13431
8226300,-0.13500,105.8125,133,75,0.14750
8226310,-0.13500,103.3750,133,75,0.16288
8226320,-0.13500,99.4375,133,75,0.18071
8226330,-0.12500,97.9375,133,75,0.23150
8226340,-0.12000,96.8125,133,75,0.26300
8226350,-0.11000,96.0000,133,75,0.29695
8226360,-0.10500,95.3750,133,75,0.33211
8226370,-0.10500,94.6875,133,75,0.40195
8226380,-0.10500,94.5000,133,75,0.43443
8226390,-0.10500,94.4375,133,75,0.46422
8226400,-0.11000,94.3750,133,75,0.51160
8226410,-0.11000,94.2500,133,75,0.52772
8226420,-0.10500,94.1250,133,75,0.54359
8226430,-0.10500,93.9375,133,75,0.55800
8226440,-0.10500,93.6875,133,75,0.57021
8226450,-0.10500,93.1250,133,75,0.58803
8226460,-0.10500,92.7500,133,75,0.59365
8226470,-0.10500,92.3750,133,75,0.59707
8226480,-0.11000,91.9375,133,75,0.59853
8226490,-0.11000,91.0000,133,75,0.59585
8226500,-0.09500,90.5000,133,75,0.59170
8226510,-0.07000,90.0000,133,75,0.58608
8226520,-0.03500,89.0000,133,75,0.56972
8226530,-0.03000,88.5000,133,75,0.55897
8226540,-0.02000,88.0000,133,75,0.54628
8226550,0.01000,87.5000,133,75,0.53211
8226560,0.03500,87.0625,133,75,0.51648
8226570,0.03000,86.1250,133,75,0.47888
8226580,0.00500,85.6875,133,75,0.46032
8226590,-0.02500,85.2500,133,75,0.44713
8226600,-0.05000,84.8125,133,75,0.43321
8226610,-0.10000,84.0000,133,75,0.41001
8226620,-0.12500,83.6250,133,75,0.39927
8226630,-0.13500,83.2500,133,75,0.38926
8226640,-0.13500,82.5000,133,75,0.37289
8226650,-0.13500,82.1875,133,75,0.36654
8226660,-0.12500,81.9375,133,75,0.36117
8226670,-0.12000,81.6250,133,75,0.35653
8226680,-0.10500,81.3750,133,75,0.35238
8226690,0.06500,80.8750,133,75,0.34481
8226700,0.65500,80.6875,133,75,0.34115
8226710,0.97000,80.5000,133,75,0.33797
8226720,0.60500,80.2500,133,75,0.33504
8226730,-0.09500,79.8750,133,75,0.32821
8226740,-0.28500,79.6875,133,75,0.32430
8226750,-0.21500,79.5000,133,75,0.32015
8226760,-0.18000,79.0625,133,75,0.31600
8226770,-0.17500,78.8750,133,75,0.30745
8226780,-0.17500,78.6250,133,75,0.30281
8226790,-0.17000,78.3750,133,75,0.29817
8226800,-0.17000,78.3750,133,75,0.29817
8226810,-0.16500,77.5625,133,75,0.28596
8226820,-0.16000,77.2500,133,75,0.28181
8226830,-0.15500,76.9375,133,75,0.27717
8226840,-0.14500,76.3125,133,75,0.30208
8226850,-0.14000,76.0000,133,75,0.34896
8226860,-0.13500,75.6875,133,75,0.37021
8226870,-0.13000,75.3750,133,75,0.37851
8226880,-0.11500,75.0625,133,75,0.38022
8226890,-0.10000,74.5000,133,75,0.37509
8226900,-0.09000,74.3125,133,75,0.37070
8226910,-0.07500,74.1875,133,75,0.36703
8226920,-0.06000,74.1875,133,75,0.36361
8226930,-0.04500,75.3750,133,75,0.35507
8226940,-0.02500,77.0000,133,75,0.35067
8226950,-0.01000,79.3750,133,75,0.34676
8226960,0.00500,82.5000,133,75,0.34310
8226970,0.03000,90.6250,133,75,0.33651
8226980,0.04500,95.2500,133,75,0.33358
8226990,0.07500,100.1250,133,75,0.33089
8227000,0.10000,109.5625,133,75,0.32723
8227010,0.13000,113.8750,133,75,0.32674
8227020,0.15500,117.7500,133,75,0.32601
8227030,0.19000,121.0000,133,75,0.32503
8227040,0.22000,125.9375,133,75,0.32405
8227050,0.25000,127.6250,133,75,0.32234
8227060,0.25500,128.8750,133,75,0.32161
8227070,0.24000,129.7500,133,75,0.32112
8227080,0.18500,130.5625,133,75,0.32088
8227090,0.14000,130.5625,133,75,0.32112
8227100,0.06500,130.3750,133,75,0.32234
8227110,0.02000,129.9375,133,75,0.32405
8227120,-0.03500,128.5625,133,75,0.32625
8227130,-0.06000,127.6250,133,75,0.32698
8227140,-0.08000,126.5000,133,75,0.32772
8227150,-0.09500,125.1875,133,75,0.32821
8227160,-0.10000,123.7500,133,75,0.32894
8227170,-0.10500,120.2500,133,75,0.32991
8227180,-0.11500,118.1875,133,75,0.33114
8227190,-0.11500,115.9375,133,75,0.33382
8227200,-0.12000,113.4375,133,75,0.33895
8227210,-0.11500,108.1250,133,75,0.35556
8227220,-0.11500,105.4375,133,75,0.37045
8227230,-0.10500,103.0000,133,75,0.39048
8227240,-0.10500,99.3125,133,75,0.44444
8227250,-0.10500,98.0000,133,75,0.47692
8227260,-0.10000,97.0000,133,75,0.51160
8227270,-0.09500,96.2500,133,75,0.54701
8227280,-0.08500,95.5000,133,75,0.61538
8227290,-0.08500,95.3125,133,75,0.64664
8227300,-0.08500,95.2500,133,75,0.67131
8227310,-0.08500,95.2500,133,75,0.69133
8227320,-0.08500,95.2500,133,75,0.71160
8227330,-0.09000,95.0625,133,75,0.74676
8227340,-0.09000,94.9375,133,75,0.76093
8227350,-0.08500,94.6875,133,75,0.77265
8227360,-0.08500,94.3750,133,75,0.78193
8227370,-0.08500,93.6250,133,75,0.79341
8227380,-0.09000,93.1875,133,75,0.79585
8227390,-0.09000,92.7500,133,75,0.79658
8227400,-0.09000,91.7500,133,75,0.79536
8227410,-0.06500,91.2500,133,75,0.78681
8227420,-0.04500,90.7500,133,75,0.78046
8227430,-0.02000,90.2500,133,75,0.77241
8227440,-0.01500,89.2500,133,75,0.76239
8227450,0.00500,88.7500,133,75,0.73651
8227460,0.04000,88.2500,133,75,0.72088
8227470,0.06000,87.7500,133,75,0.70379
8227480,0.04000,87.2500,133,75,0.68571
8227490,0.00000,86.3125,133,75,0.64811
8227500,-0.03000,85.8750,133,75,0.63150
8227510,-0.06500,85.4375,133,75,0.61636
8227520,-0.10500,85.0625,133,75,0.60073
8227530,-0.12500,84.2500,133,75,0.57241
8227540,-0.12500,83.8750,133,75,0.56044
8227550,-0.12500,83.5000,133,75,0.54994
8227560,-0.12500,82.8125,133,75,0.53358
8227570,-0.12500,82.5000,133,75,0.52698
8227580,-0.12000,82.2500,133,75,0.52137
8227590,-0.05000,81.9375,133,75,0.51648
8227600,0.27000,81.7500,133,75,0.51136
8227610,0.80500,81.3750,133,75,0.50379
8227620,0.83500,81.1250,133,75,0.49988
8227630,0.28500,80.9375,133,75,0.49573
8227640,-0.27000,80.5000,133,75,0.48694
8227650,-0.25000,80.3125,133,75,0.48205
