RelativeTimeMilliseconds,ECG,ART,ART (Sys),ART (Dia),PPG
7800000,-0.15500,72.5000,113,67,0.50427
7800010,-0.16000,71.9375,113,67,0.48425
7800020,-0.16000,71.6875,113,67,0.47570
7800030,-0.16000,71.3750,113,67,0.46838
7800040,-0.15500,71.1250,113,67,0.46178
7800050,-0.14500,70.6250,113,67,0.45104
7800060,-0.12500,70.3750,113,67,0.44689
7800070,0.05500,70.1875,113,67,0.44322
7800080,0.64000,69.7500,113,67,0.43590
7800090,0.91000,69.5625,113,67,0.43223
7800100,0.50000,69.4375,113,67,0.42882
7800110,-0.22000,69.3125,113,67,0.42564
7800120,-0.30000,69.1250,113,67,0.42247
7800130,-0.22500,68.7500,113,67,0.41612
7800140,-0.20000,68.5625,113,67,0.41294
7800150,-0.20000,68.4375,113,67,0.41001
7800160,-0.20000,68.2500,113,67,0.40757
7800170,-0.19000,67.8750,113,67,0.40244
7800180,-0.18500,67.6250,113,67,0.39927
7800190,-0.18000,67.4375,113,67,0.39609
7800200,-0.17500,66.9375,113,67,0.39267
7800210,-0.16500,66.6875,113,67,0.38632
7800220,-0.16000,66.4375,113,67,0.38315
7800230,-0.15500,66.1250,113,67,0.37973
7800240,-0.15000,65.8750,113,67,0.37631
7800250,-0.14000,65.3125,113,67,0.36947
7800260,-0.12500,65.0625,113,67,0.36679
7800270,-0.12000,64.8750,113,67,0.36459
7800280,-0.10500,64.5000,113,67,0.35922
7800290,-0.09500,64.4375,113,67,0.35629
7800300,-0.08000,64.5000,113,67,0.35336
7800310,-0.06500,64.9375,113,67,0.35018
7800320,-0.05000,65.8750,113,67,0.34701
7800330,-0.03000,69.7500,113,67,0.34139
7800340,-0.01500,72.5625,113,67,0.33871
7800350,0.00000,75.7500,113,67,0.33602
7800360,0.03000,83.0000,113,67,0.33284
7800370,0.05000,86.6875,113,67,0.33089
7800380,0.08000,90.3750,113,67,0.32894
7800390,0.11500,93.8750,113,67,0.32698
7800400,0.14000,97.1250,113,67,0.32527
7800410,0.17500,102.6250,113,67,0.32259
7800420,0.21500,104.7500,113,67,0.32161
7800430,0.23500,106.5000,113,67,0.32112
7800440,0.24500,107.8750,113,67,0.32063
7800450,0.22500,109.6250,113,67,0.31990
7800460,0.19000,110.1250,113,67,0.32015
7800470,0.13500,110.3125,113,67,0.32063
7800480,0.06000,110.1875,113,67,0.32063
7800490,0.02000,109.8750,113,67,0.32039
7800500,-0.02500,109.3125,113,67,0.31990
7800510,-0.06000,108.5625,113,67,0.31966
7800520,-0.07500,107.6875,113,67,0.31941
7800530,-0.09000,105.3750,113,67,0.31966
7800540,-0.10000,104.0625,113,67,0.31990
7800550,-0.10500,102.5625,113,67,0.32039
7800560,-0.11500,101.0000,113,67,0.32161
7800570,-0.11500,97.4375,113,67,0.32698
7800580,-0.11000,95.5000,113,67,0.33187
7800590,-0.10500,93.5000,113,67,0.33919
7800600,-0.10500,91.5000,113,67,0.34945
7800610,-0.10000,87.8750,113,67,0.38120
7800620,-0.09500,86.3750,113,67,0.40220
7800630,-0.09000,85.1875,113,67,0.42589
7800640,-0.08500,83.4375,113,67,0.47717
7800650,-0.08500,82.8125,113,67,0.50354
7800660,-0.08500,82.3125,113,67,0.52625
7800670,-0.08500,81.9375,113,67,0.54628
7800680,-0.08500,81.6875,113,67,0.56752
7800690,-0.08500,81.2500,113,67,0.60757
7800700,-0.09000,81.0625,113,67,0.62515
7800710,-0.09000,80.8750,113,67,0.64054
7800720,-0.09500,80.6875,113,67,0.65372
7800730,-0.09500,80.2500,113,67,0.67375
7800740,-0.10000,79.9375,113,67,0.68083
7800750,-0.10000,79.6250,113,67,0.68571
7800760,-0.10000,79.0000,113,67,0.68840
7800770,-0.10000,78.6875,113,67,0.68791
7800780,-0.09500,78.3125,113,67,0.68620
7800790,-0.07000,78.0000,113,67,0.68303
7800800,-0.05000,77.6250,113,67,0.67839
7800810,-0.02500,76.9375,113,67,0.66520
7800820,-0.02000,76.6250,113,67,0.65641
7800830,-0.00500,76.2500,113,67,0.64640
7800840,0.04000,75.5625,113,67,0.62271
7800850,0.05500,75.2500,113,67,0.60952
7800860,0.03000,74.8750,113,67,0.59707
7800870,-0.01500,74.5000,113,67,0.58486
7800880,-0.03500,74.1875,113,67,0.57705
7800890,-0.07500,73.5000,113,67,0.55971
7800900,-0.12000,73.1250,113,67,0.54652
7800910,-0.14500,72.8125,113,67,0.53333
7800920,-0.15000,72.5000,113,67,0.52063
7800930,-0.15000,71.8125,113,67,0.49841
7800940,-0.14000,71.5625,113,67,0.48889
7800950,-0.13500,71.2500,113,67,0.48034
7800960,-0.13000,71.0000,113,67,0.47350
7800970,-0.03000,70.5000,113,67,0.46203
7800980,0.23000,70.3125,113,67,0.45665
7800990,0.74500,70.0625,113,67,0.45128
7801000,0.79500,69.6875,114,68,0.44127
7801010,0.26500,69.5625,114,68,0.43614
7801020,-0.25000,69.4375,114,68,0.43126
7801030,-0.26500,69.2500,114,68,0.42637
7801040,-0.20000,68.9375,114,68,0.41661
7801050,-0.19500,68.7500,114,68,0.41197
7801060,-0.19000,68.5625,114,68,0.40781
7801070,-0.18000,68.3125,114,68,0.40415
7801080,-0.18000,68.1250,114,68,0.39976
7801090,-0.17000,67.6875,114,68,0.39048
7801100,-0.16500,67.4375,114,68,0.38608
7801110,-0.16000,67.1875,114,68,0.38169
7801120,-0.15500,66.9375,114,68,0.37705
7801130,-0.14500,66.3750,114,68,0.36752
7801140,-0.14000,66.1250,114,68,0.36264
7801150,-0.13500,65.8750,114,68,0.35800
7801160,-0.12500,65.6250,114,68,0.35433
7801170,-0.11000,65.1250,114,68,0.34676
7801180,-0.10500,64.8750,114,68,0.34212
7801190,-0.09000,64.6875,114,68,0.33724
7801200,-0.07000,64.6250,114,68,0.32772
7801210,-0.05500,65.0625,114,68,0.32308
7801220,-0.03500,65.9375,114,68,0.31868
7801230,-0.02500,67.5000,114,68,0.31429
7801240,-0.01000,69.6875,114,68,0.31038
7801250,0.01000,75.6875,114,68,0.30452
7801260,0.02500,79.2500,114,68,0.30281
7801270,0.05000,83.0000,114,68,0.30061
7801280,0.07000,90.6250,114,68,0.29792
7801290,0.10000,94.3125,114,68,0.29328
7801300,0.12500,97.6875,114,68,0.29158
7801310,0.16000,100.7500,114,68,0.28987
7801320,0.18500,103.4375,114,68,0.28864
7801330,0.21500,107.5625,114,68,0.28669
7801340,0.23500,109.0000,114,68,0.28571
7801350,0.23500,110.1250,114,68,0.28498
7801360,0.20500,111.5625,114,68,0.28571
7801370,0.16500,111.9375,114,68,0.28571
7801380,0.10000,112.0625,114,68,0.28547
7801390,0.02000,111.9375,114,68,0.28523
7801400,-0.01500,111.6875,114,68,0.28498
7801410,-0.06000,110.5625,114,68,0.28523
7801420,-0.09000,109.8125,114,68,0.28547
7801430,-0.10500,108.8750,114,68,0.28571
7801440,-0.12000,107.7500,114,68,0.28596
7801450,-0.12500,105.0625,114,68,0.28718
7801460,-0.13000,103.5000,114,68,0.28864
7801470,-0.13500,101.8125,114,68,0.29035
7801480,-0.13500,100.0000,114,68,0.29328
7801490,-0.13500,96.0625,114,68,0.30696
7801500,-0.13500,94.0000,114,68,0.31917
7801510,-0.13000,91.9375,114,68,0.33602
7801520,-0.12500,88.4375,114,68,0.38339
7801530,-0.12500,87.0000,114,68,0.41294
7801540,-0.12000,85.8750,114,68,0.44518
7801550,-0.11500,85.0000,114,68,0.48327
7801560,-0.11500,84.2500,114,68,0.51526
7801570,-0.11500,83.2500,114,68,0.56801
7801580,-0.11500,82.9375,114,68,0.59707
7801590,-0.10500,82.6875,114,68,0.62491
7801600,-0.10500,82.5000,114,68,0.65055
7801610,-0.10500,82.3125,114,68,0.69377
7801620,-0.10500,82.1875,114,68,0.71136
7801630,-0.10500,82.0000,114,68,0.72625
